Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
... < 0 DM;24.0;existing credits paid back duly till now;car (new);3123.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;27.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;36.0;existing credits paid back duly till now;car (used);5493.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;42.0;none;for free;1.0;skilled employee / official;2.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;9.0;existing credits paid back duly till now;radio/television;1126.0;100 <= ... < 500 DM;.. >= 7 years;2.0;male : divorced/separated;none;4.0;real estate;49.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);radio/television;1216.0;100 <= ... < 500 DM;... < 1 year;4.0;male : single;none;4.0;unknown / no property;38.0;bank;own;2.0;skilled employee / official;2.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;car (new);1207.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
no checking account;10.0;existing credits paid back duly till now;car (new);1309.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;guarantor;4.0; building society savings agreement/ life insurance;27.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;15.0;critical account/ other credits existing (not at this bank);car (used);2360.0;500 <= ... < 1000 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;36.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;15.0;all credits at this bank paid back duly;car (new);6850.0;100 <= ... < 500 DM;unemployed;1.0;male : single;none;2.0; building society savings agreement/ life insurance;34.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;1
no checking account;24.0;existing credits paid back duly till now;radio/television;1413.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0; building society savings agreement/ life insurance;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;39.0;existing credits paid back duly till now;car (used);8588.0;100 <= ... < 500 DM;.. >= 7 years;4.0;male : single;none;2.0;car or other;45.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;car (new);759.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;2.0;real estate;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;36.0;existing credits paid back duly till now;car (used);4686.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;unknown / no property;32.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;15.0;existing credits paid back duly till now;business;2687.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;26.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;delay in paying off in the past;radio/television;585.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;co-applicant;4.0;real estate;20.0;none;rent;2.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;car (new);2255.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;1.0; building society savings agreement/ life insurance;54.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);car (new);609.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;37.0;none;own;2.0;skilled employee / official;1.0;none;no;0
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);car (new);1361.0;... < 100 DM;... < 1 year;2.0;male : single;none;4.0;real estate;40.0;none;own;1.0;unskilled - resident;2.0;none;no;0
no checking account;36.0;critical account/ other credits existing (not at this bank);furniture/equipment;7127.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;23.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;6.0;existing credits paid back duly till now;car (new);1203.0;100 <= ... < 500 DM;.. >= 7 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;43.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;critical account/ other credits existing (not at this bank);radio/television;700.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;36.0;none;for free;2.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);repairs;5507.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;44.0;none;for free;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;radio/television;3190.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;real estate;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;48.0;no credits taken/ all credits paid back duly;furniture/equipment;7119.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;4.0;unknown / no property;53.0;none;for free;2.0;skilled employee / official;2.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;car (used);3488.0;100 <= ... < 500 DM;4 <= ... < 7 years;3.0;female : divorced/separated/married;none;4.0;car or other;23.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;radio/television;1113.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;guarantor;4.0;real estate;26.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
0 <= ... < 200 DM;26.0;existing credits paid back duly till now;car (used);7966.0;... < 100 DM;... < 1 year;2.0;male : single;none;3.0;car or other;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);education;1532.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;3.0;car or other;31.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;4.0;critical account/ other credits existing (not at this bank);radio/television;1503.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;real estate;42.0;none;own;2.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;radio/television;2302.0;... < 100 DM;1 <= ... < 4 years;4.0;male : divorced/separated;none;4.0;car or other;31.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;6.0;existing credits paid back duly till now;car (new);662.0;... < 100 DM;... < 1 year;3.0;male : single;none;4.0;real estate;41.0;none;own;1.0;unskilled - resident;2.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;education;2273.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;1.0;car or other;32.0;none;own;2.0;skilled employee / official;2.0;none;yes;0
0 <= ... < 200 DM;15.0;existing credits paid back duly till now;car (new);2631.0;100 <= ... < 500 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;28.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;12.0;delay in paying off in the past;car (used);1503.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;4.0;real estate;41.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;1311.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;male : married/widowed;none;3.0; building society savings agreement/ life insurance;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;3105.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;2.0;car or other;25.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;21.0;critical account/ other credits existing (not at this bank);education;2319.0;... < 100 DM;... < 1 year;2.0;male : divorced/separated;none;1.0;car or other;33.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;6.0;existing credits paid back duly till now;car (new);1374.0;unknown/ no savings account;unemployed;4.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;75.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;3612.0;... < 100 DM;.. >= 7 years;3.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;37.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;48.0;existing credits paid back duly till now;car (new);7763.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;42.0;bank;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;18.0;existing credits paid back duly till now;furniture/equipment;3049.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;45.0;stores;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;1534.0;... < 100 DM;... < 1 year;1.0;male : married/widowed;none;1.0;real estate;23.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;delay in paying off in the past;car (new);2032.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;60.0;none;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;30.0;existing credits paid back duly till now;furniture/equipment;6350.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;31.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;18.0;existing credits paid back duly till now;furniture/equipment;2864.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;1.0;real estate;34.0;none;own;1.0;unskilled - resident;2.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);car (new);1255.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;61.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;24.0;delay in paying off in the past;car (new);1333.0;... < 100 DM;unemployed;4.0;male : single;none;2.0;real estate;43.0;none;for free;2.0;skilled employee / official;2.0;none;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);car (new);2022.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;car or other;37.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;1552.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;1.0;car or other;32.0;bank;own;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;12.0;all credits at this bank paid back duly;radio/television;626.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;real estate;24.0;bank;own;1.0;unskilled - resident;1.0;none;yes;1
no checking account;48.0;critical account/ other credits existing (not at this bank);car (used);8858.0;unknown/ no savings account;4 <= ... < 7 years;2.0;male : single;none;1.0;unknown / no property;35.0;none;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);repairs;996.0;unknown/ no savings account;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0;real estate;23.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;all credits at this bank paid back duly;radio/television;1750.0;500 <= ... < 1000 DM;.. >= 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;45.0;bank;own;1.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;48.0;existing credits paid back duly till now;radio/television;6999.0;... < 100 DM;4 <= ... < 7 years;1.0;male : married/widowed;guarantor;1.0;real estate;34.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;12.0;critical account/ other credits existing (not at this bank);car (new);1995.0;100 <= ... < 500 DM;... < 1 year;4.0;male : single;none;1.0;car or other;27.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;education;1199.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;67.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;1331.0;... < 100 DM;... < 1 year;2.0;male : single;none;1.0;car or other;22.0;stores;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;18.0;no credits taken/ all credits paid back duly;car (new);2278.0;100 <= ... < 500 DM;... < 1 year;3.0;female : divorced/separated/married;none;3.0;car or other;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;21.0;no credits taken/ all credits paid back duly;car (new);5003.0;unknown/ no savings account;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;29.0;bank;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;all credits at this bank paid back duly;furniture/equipment;3552.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;4.0;car or other;27.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;1928.0;... < 100 DM;... < 1 year;2.0;male : single;none;2.0;real estate;31.0;none;own;2.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;car (used);2964.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;49.0;bank;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;radio/television;1546.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;guarantor;4.0;car or other;24.0;bank;rent;1.0;unskilled - resident;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;6.0;delay in paying off in the past;radio/television;683.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;29.0;bank;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;car (new);12389.0;unknown/ no savings account;1 <= ... < 4 years;1.0;male : single;none;4.0;unknown / no property;37.0;none;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;24.0;delay in paying off in the past;business;4712.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;37.0;bank;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;24.0;delay in paying off in the past;radio/television;1553.0;100 <= ... < 500 DM;4 <= ... < 7 years;3.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;23.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;car (new);1372.0;... < 100 DM;4 <= ... < 7 years;2.0;male : divorced/separated;none;3.0;car or other;36.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;2578.0;.. >= 1000 DM;.. >= 7 years;2.0;male : single;none;2.0;car or other;34.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;radio/television;3979.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;1.0;car or other;41.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;48.0;existing credits paid back duly till now;radio/television;6758.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;car or other;31.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;3234.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0;real estate;23.0;none;rent;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
no checking account;30.0;critical account/ other credits existing (not at this bank);radio/television;5954.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;co-applicant;2.0;car or other;38.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;car (used);5433.0;unknown/ no savings account;unemployed;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;26.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;15.0;existing credits paid back duly till now;business;806.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;22.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;radio/television;1082.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;27.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);furniture/equipment;2788.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;co-applicant;3.0;car or other;24.0;bank;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;2930.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;1.0;real estate;27.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);education;1927.0;unknown/ no savings account;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;car or other;33.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;critical account/ other credits existing (not at this bank);car (new);2820.0;... < 100 DM;... < 1 year;4.0;male : divorced/separated;none;4.0;car or other;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;retraining;937.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;none;3.0;car or other;27.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);car (new);1056.0;... < 100 DM;.. >= 7 years;3.0;male : single;guarantor;3.0;real estate;30.0;bank;own;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;12.0;critical account/ other credits existing (not at this bank);car (new);3124.0;... < 100 DM;... < 1 year;1.0;male : single;none;3.0;real estate;49.0;bank;own;2.0;unskilled - resident;2.0;none;yes;0
no checking account;9.0;existing credits paid back duly till now;furniture/equipment;1388.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;real estate;26.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;repairs;2384.0;... < 100 DM;... < 1 year;4.0;male : single;none;1.0;unknown / no property;33.0;none;rent;1.0;unskilled - resident;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;car (new);2133.0;unknown/ no savings account;.. >= 7 years;4.0;female : divorced/separated/married;none;4.0;unknown / no property;52.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;2039.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;4.0;real estate;20.0;bank;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;9.0;critical account/ other credits existing (not at this bank);car (new);2799.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;36.0;none;rent;2.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;1289.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;guarantor;1.0; building society savings agreement/ life insurance;21.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;domestic appliances;1217.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;3.0;real estate;47.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;2246.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;3.0; building society savings agreement/ life insurance;60.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);radio/television;385.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0;real estate;58.0;none;own;4.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;24.0;delay in paying off in the past;car (new);1965.0;unknown/ no savings account;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;car or other;42.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;21.0;existing credits paid back duly till now;business;1572.0;.. >= 1000 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;4.0;real estate;36.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;car (new);2718.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;20.0;none;rent;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;all credits at this bank paid back duly;others;1358.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;3.0;car or other;40.0;stores;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;6.0;all credits at this bank paid back duly;car (new);931.0;100 <= ... < 500 DM;... < 1 year;1.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;32.0;stores;own;1.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;car (new);1442.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0;car or other;23.0;none;rent;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;24.0;no credits taken/ all credits paid back duly;business;4241.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;4.0;real estate;36.0;none;own;3.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
no checking account;18.0;critical account/ other credits existing (not at this bank);car (new);2775.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;2.0; building society savings agreement/ life insurance;31.0;bank;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;delay in paying off in the past;business;3863.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;2.0;unknown / no property;32.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;7.0;existing credits paid back duly till now;radio/television;2329.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;guarantor;1.0;real estate;45.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;furniture/equipment;918.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;30.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;24.0;all credits at this bank paid back duly;education;1837.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0;unknown / no property;34.0;bank;for free;1.0;unskilled - resident;1.0;none;yes;1
no checking account;36.0;existing credits paid back duly till now;furniture/equipment;3349.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;car or other;28.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
... >= 200 DM / salary assignments for at least 1 year;10.0;existing credits paid back duly till now;furniture/equipment;1275.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;23.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;furniture/equipment;2828.0;500 <= ... < 1000 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;real estate;22.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);business;4526.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;real estate;74.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;radio/television;2671.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;co-applicant;4.0;unknown / no property;50.0;none;for free;1.0;skilled employee / official;1.0;none;yes;1
no checking account;18.0;existing credits paid back duly till now;radio/television;2051.0;... < 100 DM;... < 1 year;4.0;male : single;none;1.0;real estate;33.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;15.0;existing credits paid back duly till now;car (used);1300.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;45.0;bank;for free;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;domestic appliances;741.0;100 <= ... < 500 DM;unemployed;4.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;10.0;existing credits paid back duly till now;car (new);1240.0;100 <= ... < 500 DM;.. >= 7 years;1.0;female : divorced/separated/married;none;4.0;unknown / no property;48.0;none;for free;1.0;unskilled - resident;2.0;none;yes;1
... < 0 DM;21.0;existing credits paid back duly till now;radio/television;3357.0;.. >= 1000 DM;... < 1 year;4.0;female : divorced/separated/married;none;2.0;car or other;29.0;bank;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;car (used);3632.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;guarantor;4.0;car or other;22.0;bank;rent;1.0;skilled employee / official;1.0;none;no;0
no checking account;18.0;delay in paying off in the past;furniture/equipment;1808.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;1.0;real estate;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;48.0;no credits taken/ all credits paid back duly;business;12204.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;48.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;60.0;delay in paying off in the past;radio/television;9157.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;2.0;unknown / no property;27.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);car (new);3676.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;3.0;real estate;37.0;none;rent;3.0;skilled employee / official;2.0;none;yes;0
